Order,parameter name,"Parameter name short version
Backup",long_name,cf_standard_name,cf_standard_name_uri,unit,valid_min,valid_max,core/bio/intermediate,sdn_parameter_urn,sdn_parameter_uri,sdn_uom_urn,sdn_uom_uri,comment,update date,status,Fillvalue,Data Type
64,RAW_DOWNWELLING_IRRADIANCE443,Raw downwelling irradiance at 490 nanometers,Raw downwelling irradiance at 443 nanometers,-,,count,-,-,i,SDN:P01::DWIRXXZZ,http://vocab.nerc.ac.uk/collection/P01/current/DWIRXXZZ/,SDN:P061::UUUU,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,"Satlantic ocr504
corrected in float",42322,active,99999.,float
65,RAW_DOWNWELLING_IRRADIANCE490,,Raw downwelling irradiance at 490 nanometers,-,,count,-,-,i,SDN:P01::DWIRXXZZ,http://vocab.nerc.ac.uk/collection/P01/current/DWIRXXZZ/,SDN:P061::UUUU,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,"Satlantic ocr504
corrected in float",42322,active,99999.,float
66,RAW_DOWNWELLING_IRRADIANCE555,,Raw downwelling irradiance at 555 nanometers,-,,count,-,-,i,SDN:P01::DWIRXXZZ,http://vocab.nerc.ac.uk/collection/P01/current/DWIRXXZZ/,SDN:P061::UUUU,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,"Satlantic ocr504
corrected in float",42322,active,99999.,float
67,DOWN_IRRADIANCE,DOWN_IRR,Downwelling irradiance at x nanometers,-,,W/m^2/nm,-,-,b,SDN:P01::DWIRXXED,http://vocab.nerc.ac.uk/collection/P01/current/DWIRXXED/,SDN:P061::UWNM,http://vocab.nerc.ac.uk/collection/P06/current/UWNM/,Satlantic ocr504 (unit conversion),41675,active,99999.f,float
68,DOWN_IRRADIANCE380,,Downwelling irradiance at 380 nanometers,-,,W/m^2/nm,-,-,b,SDN:P01::RXUD380E,http://vocab.nerc.ac.uk/collection/P01/current/RXUD380E/,SDN:P061::UWNM,http://vocab.nerc.ac.uk/collection/P06/current/UWNM/,Satlantic ocr504 (unit conversion),42243,active,99999.f,float
69,DOWN_IRRADIANCE412,,Downwelling irradiance at 412 nanometers,-,,W/m^2/nm,-,-,b,SDN:P01::RXUD412E,http://vocab.nerc.ac.uk/collection/P01/current/RXUD412E/,SDN:P061::UWNM,http://vocab.nerc.ac.uk/collection/P06/current/UWNM/,Satlantic ocr504 (unit conversion),41810,active,99999.f,float
70,DOWN_IRRADIANCE443,,Downwelling irradiance at 443 nanometers,-,,W/m^2/nm,-,-,b,SDN:P01::RXUD443E,http://vocab.nerc.ac.uk/collection/P01/current/RXUD443E/,SDN:P061::UWNM,http://vocab.nerc.ac.uk/collection/P06/current/UWNM/,Satlantic ocr504 (unit conversion),42243,active,99999.f,float
71,DOWN_IRRADIANCE490,,Downwelling irradiance at 490 nanometers,-,,W/m^2/nm,-,-,b,SDN:P01::RXUD490E,http://vocab.nerc.ac.uk/collection/P01/current/RXUD490E/,SDN:P061::UWNM,http://vocab.nerc.ac.uk/collection/P06/current/UWNM/,Satlantic ocr504 (unit conversion),42243,active,99999.f,float
72,DOWN_IRRADIANCE555,,Downwelling irradiance at 555 nanometers,-,,W/m^2/nm,-,-,b,SDN:P01::RXUD555E,http://vocab.nerc.ac.uk/collection/P01/current/RXUD555E/,SDN:P061::UWNM,http://vocab.nerc.ac.uk/collection/P06/current/UWNM/,Satlantic ocr504 (unit conversion),42243,active,99999.f,float
73,RAW_UPWELLING_RADIANCE,RAW_UP_RAD,Raw upwelling radiance at x nanometers,-,,count,-,-,i,SDN:P01::UPRAXXZZ,http://vocab.nerc.ac.uk/collection/P01/current/UPRAXXZZ/,SDN:P061::UUUU,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,Satlantic ocr504,41810,active,99999.,float
74,RAW_UPWELLING_RADIANCE412,,Raw upwelling radiance at 412 nanometers,-,,count,-,-,i,SDN:P01::UPRAXXZZ,http://vocab.nerc.ac.uk/collection/P01/current/UPRAXXZZ/,SDN:P061::UUUU,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,Satlantic ocr504,42322,active,99999.,float
75,RAW_UPWELLING_RADIANCE443,,Raw upwelling radiance at 443 nanometers,-,,count,-,-,i,SDN:P01::UPRAXXZZ,http://vocab.nerc.ac.uk/collection/P01/current/UPRAXXZZ/,SDN:P061::UUUU,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,Satlantic ocr504,42322,active,99999.,float
76,RAW_UPWELLING_RADIANCE490,,Raw upwelling radiance at 490 nanometers,-,,count,-,-,i,SDN:P01::UPRAXXZZ,http://vocab.nerc.ac.uk/collection/P01/current/UPRAXXZZ/,SDN:P061::UUUU,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,Satlantic ocr504,42322,active,99999.,float
77,RAW_UPWELLING_RADIANCE555,,Raw upwelling radiance at 555 nanometers,-,,count,-,-,i,SDN:P01::UPRAXXZZ,http://vocab.nerc.ac.uk/collection/P01/current/UPRAXXZZ/,SDN:P061::UUUU,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,Satlantic ocr504,42322,active,99999.,float
78,UP_RADIANCE,UP_RAD,Upwelling radiance at x nanometers,upwelling_radiance_in_sea_water,,W/m^2/nm/sr,-,-,b,UPRAXXED,http://vocab.nerc.ac.uk/collection/P01/current/UPRAXXED/,SDN:P061::UWNS,http://vocab.nerc.ac.uk/collection/P06/current/UWNS/,Satlantic ocr504 (unit conversion),42261,active,99999.f,float
79,UP_RADIANCE412,,Upwelling radiance at 412 nanometers,upwelling_radiance_in_sea_water,,W/m^2/nm/sr,-,-,b,SDN:P01::RXUU412L,http://vocab.nerc.ac.uk/collection/P01/current/RXUU412L/,SDN:P061::UWNS,http://vocab.nerc.ac.uk/collection/P06/current/UWNS/,Satlantic ocr504 (unit conversion),42243,active,99999.f,float
80,UP_RADIANCE443,Upwelling radiance at x nanometers,Upwelling radiance at 443 nanometers,upwelling_radiance_in_sea_water,,W/m^2/nm/sr,-,-,b,SDN:P01::RXUU443L,http://vocab.nerc.ac.uk/collection/P01/current/RXUU443L/,SDN:P061::UWNS,http://vocab.nerc.ac.uk/collection/P06/current/UWNS/,Satlantic ocr504 (unit conversion),42243,active,99999.f,float
81,UP_RADIANCE490,,Upwelling radiance at 490 nanometers,upwelling_radiance_in_sea_water,,W/m^2/nm/sr,-,-,b,SDN:P01::RXUU490L,http://vocab.nerc.ac.uk/collection/P01/current/RXUU490L/,SDN:P061::UWNS,http://vocab.nerc.ac.uk/collection/P06/current/UWNS/,Satlantic ocr504 (unit conversion),42243,active,99999.f,float
82,UP_RADIANCE555,,Upwelling radiance at 555 nanometers,upwelling_radiance_in_sea_water,,W/m^2/nm/sr,-,-,b,SDN:P01::RXUU555L,http://vocab.nerc.ac.uk/collection/P01/current/RXUU555L/,SDN:P061::UWNS,http://vocab.nerc.ac.uk/collection/P06/current/UWNS/,Satlantic ocr504 (unit conversion),42243,active,99999.f,float
83,RAW_DOWNWELLING_PAR,RAW_DOWN_PAR,Raw downwelling photosynthetic available radiation,-,,count,-,-,i,SDN:P01::DWIRRXZZ,http://vocab.nerc.ac.uk/collection/P01/current/DWIRRXZZ/,SDN:P061::UUUU,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,"Satlantic ocr504
corrected in float",41810,active,99999.,float
84,DOWNWELLING_PAR,DOWN_PAR,Downwelling photosynthetic available radiation,downwelling_photosynthetic_photon_flux_in_sea_water,,microMoleQuanta/m^2/sec,-,-,b,SDN:P01::DWIRRXUD,http://vocab.nerc.ac.uk/collection/P01/current/DWIRRXUD/,SDN:P061::UMES,http://vocab.nerc.ac.uk/collection/P06/current/UMES/,,42023,active,99999.f,float
85,TILT,,Inclination of the float axis in respect to the local vertical,-,,degree,-,-,i,,,,,,42402,active,99999.f,float
86,MTIME,,Fractional day of the individual measurement relative to JULD of the station,-,-,days,-3.,3,i,,,,,Double instead of float variable,42993,active,999999.,double
